,val_loss,val_acc,loss,acc
0,0.5564435767789259,0.8168439716312057,1.5514500754240443,0.5601611521031298
1,0.45290485273861714,0.8438829787234042,0.7411741729172225,0.7645563884945309
2,0.40588243988388817,0.8570035460992907,0.6068978157007431,0.8033077551750492
3,0.3823438710354744,0.864450354609929,0.5458774243847431,0.8199548853006281
4,0.3683105818768765,0.8629432624113476,0.5025022839573156,0.8316965297107141
5,0.35834265440068347,0.8674645390070922,0.4713936227830298,0.8416355559298633
6,0.34922037386725135,0.8733156028368795,0.44563929798247987,0.8478314403965348
7,0.3541531398786721,0.8703014184397163,0.430360920774003,0.8517223377033984
8,0.3404205499811375,0.874113475177305,0.41184478204563324,0.8563027610677258
9,0.3375456038519,0.876241134751773,0.3956751221994882,0.8628335582313916
