,val_loss,val_acc,loss,acc
0,0.48714066405668327,0.8304078014184397,1.367236918570476,0.5818271433568756
1,0.4291659821855261,0.8460992907801419,0.846923638512927,0.7266740883875488
2,0.3968473176372812,0.8577127659574468,0.7339694366530392,0.7609070892747942
3,0.37029743029716167,0.8652482269503546,0.66705472249575,0.7812391886722554
4,0.3647550083221273,0.8665780141843972,0.6251150106836786,0.7937494439916719
5,0.3617687298051009,0.8658687943262411,0.5985953340637495,0.8022409728423109
6,0.35330781763327035,0.8698581560283688,0.5751491888023427,0.8087994355992231
7,0.3503413017337204,0.87322695035461,0.5562764312732272,0.8145473573436
8,0.34340249456412403,0.8745567375886525,0.541572468145277,0.8187668656684846
9,0.3469994751274163,0.875177304964539,0.5333058530366838,0.8216482400395211
